Report Year,Table Number,Colony Name,Colony Type,Nest Check,Latitude,Longitude,Species,Number,Data Type,Survey Type/Method,Data Details,Notes
2023,31,Clewiston Spit,Spoil Island,Y,26.77573,-80.90938,Cattle Egret,2,Peak nest abundances,Aerial and ground surveys,Geographic coordinates (NAD 83) and species-specific peak nest abundances in detected colonies during the 2023 breeding season at Lake Okeechobee.,
2023,31,Clewiston Spit,Spoil Island,Y,26.77573,-80.90938,Great Blue Heron,3,Peak nest abundances,Aerial and ground surveys,Geographic coordinates (NAD 83) and species-specific peak nest abundances in detected colonies during the 2023 breeding season at Lake Okeechobee.,
2023,31,Clewiston Spit,Spoil Island,Y,26.77573,-80.90938,Roseate Spoonbill,5,Peak nest abundances,Aerial and ground surveys,Geographic coordinates (NAD 83) and species-specific peak nest abundances in detected colonies during the 2023 breeding season at Lake Okeechobee.,
2023,31,Clewiston Spit,Spoil Island,Y,26.77573,-80.90938,Little Blue Heron,8,Peak nest abundances,Aerial and ground surveys,Geographic coordinates (NAD 83) and species-specific peak nest abundances in detected colonies during the 2023 breeding season at Lake Okeechobee.,
2023,31,Clewiston Spit,Spoil Island,Y,26.77573,-80.90938,White Ibis,13,Peak nest abundances,Aerial and ground surveys,Geographic coordinates (NAD 83) and species-specific peak nest abundances in detected colonies during the 2023 breeding season at Lake Okeechobee.,
2023,31,Clewiston Spit,Spoil Island,Y,26.77573,-80.90938,Glossy Ibis,26,Peak nest abundances,Aerial and ground surveys,Geographic coordinates (NAD 83) and species-specific peak nest abundances in detected colonies during the 2023 breeding season at Lake Okeechobee.,
2023,31,Clewiston Spit,Spoil Island,Y,26.77573,-80.90938,Tricolored Heron,99,Peak nest abundances,Aerial and ground surveys,Geographic coordinates (NAD 83) and species-specific peak nest abundances in detected colonies during the 2023 breeding season at Lake Okeechobee.,
2023,31,Clewiston Spit,Spoil Island,Y,26.77573,-80.90938,Snowy Egret,105,Peak nest abundances,Aerial and ground surveys,Geographic coordinates (NAD 83) and species-specific peak nest abundances in detected colonies during the 2023 breeding season at Lake Okeechobee.,
2023,31,Clewiston Spit,Spoil Island,Y,26.77573,-80.90938,Great Egret,178,Peak nest abundances,Aerial and ground surveys,Geographic coordinates (NAD 83) and species-specific peak nest abundances in detected colonies during the 2023 breeding season at Lake Okeechobee.,
2023,31,Eagle Bay Island,Marsh Island,N,27.179183,-80.837133,Great Blue Heron,1,Peak nest abundances,Aerial and ground surveys,Geographic coordinates (NAD 83) and species-specific peak nest abundances in detected colonies during the 2023 breeding season at Lake Okeechobee.,
2023,31,Eagle Bay Island,Marsh Island,N,27.179183,-80.837133,Anhinga,10,Peak nest abundances,Aerial and ground surveys,Geographic coordinates (NAD 83) and species-specific peak nest abundances in detected colonies during the 2023 breeding season at Lake Okeechobee.,
2023,31,Eagle Bay Island,Marsh Island,N,27.179183,-80.837133,Great Egret,25,Peak nest abundances,Aerial and ground surveys,Geographic coordinates (NAD 83) and species-specific peak nest abundances in detected colonies during the 2023 breeding season at Lake Okeechobee.,
2023,31,Eagle Bay Island,Marsh Island,N,27.179183,-80.837133,Little Blue Heron,48,Peak nest abundances,Aerial and ground surveys,Geographic coordinates (NAD 83) and species-specific peak nest abundances in detected colonies during the 2023 breeding season at Lake Okeechobee.,
2023,31,Eagle Bay Island,Marsh Island,N,27.179183,-80.837133,Glossy Ibis,102,Peak nest abundances,Aerial and ground surveys,Geographic coordinates (NAD 83) and species-specific peak nest abundances in detected colonies during the 2023 breeding season at Lake Okeechobee.,
2023,31,Eagle Bay Island,Marsh Island,N,27.179183,-80.837133,Tricolored Heron,144,Peak nest abundances,Aerial and ground surveys,Geographic coordinates (NAD 83) and species-specific peak nest abundances in detected colonies during the 2023 breeding season at Lake Okeechobee.,
