Database ID,Date,Observers,Survey Type,Start Time,End Time,Survey Notes,Method,Sky Code,Counts by,Waypoint Number,Latitude,Longitude,Colony Name,Photo Numbers,Colony Notes,Species Code,Nest Count,Adult Count,Fledling Count
1,1/13/2025,"B. Mason, J. Mulling",Aerial,8:16,10:33,,Aerial Count,1,B. Mason,1,26.97398,81.12099,Lakeport Marina,1721-1723,3 GREG present but not nesting,GREG,1,3,
1,1/13/2025,"B. Mason, J. Mulling",Aerial,8:16,10:33,,Aerial Count,1,J. Mulling,1,26.97398,81.12099,Lakeport Marina,1721-1724,3 GREG present but not nesting,GREG,1,3,
1,1/13/2025,"B. Mason, J. Mulling",Aerial,8:16,10:33,,Photograph Count,1,"J. Mulling, B. Mason",1,26.97398,81.12099,Lakeport Marina,1721-1724,,GREG,2,5,
2,2/10/2025,"B. Mason, A. Fussell, D. Serrano",Targeted Ground,10:00,11:20,,Ground Count,1,"B. Mason, A. Fussell",Moore Haven East,26.517428,81.004224,Moore Haven East,1487-1495,One pair of GREG,GBHE,0,4,
2,2/10/2025,"B. Mason, A. Fussell, D. Serrano",Targeted Ground,10:00,11:20,,Ground Count,1,"B. Mason, A. Fussell",Moore Haven East,26.517428,81.004224,Moore Haven East,1487-1495,One pair of GREG,GREG,0,3,
2,2/10/2025,"B. Mason, A. Fussell, D. Serrano",Targeted Ground,10:00,11:20,,Ground Count,1,"B. Mason, A. Fussell",Moore Haven East,26.517428,81.004224,Moore Haven East,1487-1495,One pair of GREG,ANHI,0,1,
2,2/10/2025,"B. Mason, A. Fussell, D. Serrano",Targeted Ground,10:00,11:20,,Ground Count,1,"B. Mason, A. Fussell",Moore Haven East,26.517428,81.004224,Moore Haven East,1487-1495,One pair of GREG,LIMP,0,1,
3,2/17/2025,"B. Mason, A. Fussell",Aerial,8:10,10:33,,Aerial Count,2,B. Mason,5,26.7221,80.84575,Little Bear Beach,1784-1790,,GREG,10,,
3,2/17/2025,"B. Mason, A. Fussell",Aerial,8:10,10:33,,Aerial Count,2,B. Mason,6,26.72419,80.83878,Little Bear Beach,1791-1794,"Originally thought to be two different little bear beach coloines, but later corrected to just one",GREG,12,,
3,2/17/2025,"B. Mason, A. Fussell",Aerial,8:10,10:33,,Aerial Count,2,B. Mason,7,26.74902,80.90056,Clewiston Spit 2,1796-1801,,GREG,17,,
3,2/17/2025,"B. Mason, A. Fussell",Aerial,8:10,10:33,,Aerial Count,2,B. Mason,7,26.74902,80.90056,Clewiston Spit 2,1796-1801,,GBHE,2,,
3,2/17/2025,"B. Mason, A. Fussell",Aerial,8:10,10:33,,Aerial Count,2,B. Mason,8,26.7716,80.70533,Pahokee,1802-1805,,GREG,18,,
3,2/17/2025,"B. Mason, A. Fussell",Aerial,8:10,10:33,,Aerial Count,2,B. Mason,9,26.77478,80.91219,Clewiston Spit,1806-1815,,GREG,32,,
