Colony,Latitude,Longitude,Nest Checks
Clewiston Spit 1,26.77609,-80.90929,Y
Clewiston Spit 2,26.77118,-80.9077,Y
Lemkin Creek,27.20427,-80.88912,N
Little Bear Beach,26.72121,-80.84225,Y
Rock Island 10,26.96706,-81.04669,N
Rock Island 11,26.9683,-81.04488,Y
Rock Island 12,26.96872,-81.04175,Y
Rock Island 13,26.96907,-81.03886,N
Rock Island 14,26.96968,-81.03663,N
Gun Range,26.8959,-81.12725,N
Rock Island 5,26.95977,-81.05744,N
Rock Island 6,26.96131,-81.05394,N
Rock Island 7,26.96357,-81.05149,N
Rock Island 15,26.96976,-81.03461,N
Rock Island 8,26.96512,-81.04951,N
Rock Island 9,26.9665,-81.04768,N
Eagle Bay Island,27.1725,-80.837639,N
