Report Year,Colony Name,Latitude,Longitude,Nest Check,Colony Type,Species,Number
2025,Clewiston Spit 1,26.77597,-80.90956,Y,Spoil Island,Great Egret,76
2025,Clewiston Spit 1,26.77597,-80.90956,Y,Spoil Island,White Ibis,269
2025,Clewiston Spit 1,26.77597,-80.90956,Y,Spoil Island,Snowy Egret,35
2025,Clewiston Spit 1,26.77597,-80.90956,Y,Spoil Island,Roseate Spoonbill,7
2025,Clewiston Spit 1,26.77597,-80.90956,Y,Spoil Island,Great Blue Heron,2
2025,Clewiston Spit 1,26.77597,-80.90956,Y,Spoil Island,Little Blue Heron,0
2025,Clewiston Spit 1,26.77597,-80.90956,Y,Spoil Island,Tricolored Heron,4
2025,Clewiston Spit 1,26.77597,-80.90956,Y,Spoil Island,Glossy Ibis,0
2025,Clewiston Spit 1,26.77597,-80.90956,Y,Spoil Island,Black-crowned Night Heron,0
2025,Clewiston Spit 1,26.77597,-80.90956,Y,Spoil Island,"Small Dark Egrets and Herons (LBHE, TRHE)",1
2025,Clewiston Spit 1,26.77597,-80.90956,Y,Spoil Island,"Small White Egrets and Herons (SNEG, CAEG)",42
2025,Clewiston Spit 1,26.77597,-80.90956,Y,Spoil Island,Double-crested Cormorant,2
2025,Clewiston Spit 1,26.77597,-80.90956,Y,Spoil Island,Cattle Egret,200
2025,Clewiston Spit 1,26.77597,-80.90956,Y,Spoil Island,Anhinga,2
2025,Clewiston Spit 2,26.77128,-80.9078,N,Spoil Island,Great Egret,61
2025,Clewiston Spit 2,26.77128,-80.9078,N,Spoil Island,White Ibis,116
2025,Clewiston Spit 2,26.77128,-80.9078,N,Spoil Island,Snowy Egret,22
2025,Clewiston Spit 2,26.77128,-80.9078,N,Spoil Island,Roseate Spoonbill,3
2025,Clewiston Spit 2,26.77128,-80.9078,N,Spoil Island,Great Blue Heron,9
2025,Clewiston Spit 2,26.77128,-80.9078,N,Spoil Island,Little Blue Heron,0
2025,Clewiston Spit 2,26.77128,-80.9078,N,Spoil Island,Tricolored Heron,1
