Year,Species,Initiation_date
2025,GREG,19-Mar
2025,SNEG,26-Mar
2025,TRHE,26-Mar
2025,WHIB,26-Mar
2025,GLIB,9-Apr
2025,ROSP,12-Apr
2024,GREG,5-Mar
2024,TRHE,29-Mar
2024,SNEG,1-Apr
2024,WHIB,30-Apr
2023,GREG,15-Mar
2023,SNEG,24-Mar
2023,TRHE,13-Mar
2023,WHIB,27-Apr
2022,GREG,24-Mar
2022,TRHE,18-Mar
2022,SNEG,25-Mar
2022,WHIB,24-Mar
2021,GREG,7-Mar
2021,SNEG,3-Apr
2021,WHIB,8-May
2020,GREG,24-Mar
2020,SNEG,4-Apr
2019,GREG,8-Mar
2019,SNEG,3-Mar
2018,GREG,23-Feb
2018,SNEG,25-Mar
2017,GREG,2-Mar
2017,SNEG,21-Mar
2017,TRHE,23-Mar
2016,GREG,17-Mar
2016,SNEG,7-Apr
2016,TRHE,13-Apr
2015,GREG,21-Mar
2015,SNEG,5-Apr
2015,TRHE,19-Apr
2014,GREG,12-Feb
2014,SNEG,19-Feb
2014,TRHE,12-Mar
2013,GREG,15-Feb
2013,SMHE,2-Mar
2013,WHIB,2-Apr
