Clewiston Spit,Clewiston Spit 2,Little Bear Beach,Rock Island 11,Rock Island 12
03-Mar,10-Mar,04-May,24-Mar,24-Mar
10-Mar,16-Mar,11-May,31-Mar,31-Mar
16-Mar,23-Mar,18-May,05-Apr,05-Apr
23-Mar,30-Mar,27-May,14-Apr,14-Apr
30-Mar,13-Apr,01-Jun,23-Apr,23-Apr
13-Apr,23-Apr,12-Jun,29-Apr,29-Apr
23-Apr,28-Apr,19-Jun,07-May,07-May
28-Apr,04-May,26-Jun,14-May,14-May
04-May,NA,03-Jul,21-May,21-May
11-May,NA,NA,26-May,26-May
18-May,NA,NA,01-Jun,01-Jun
27-May,NA,NA,10-Jun,10-Jun
01-Jun,NA,NA,19-Jun,19-Jun
12-Jun,NA,NA,NA,NA
