Colony Name,Month,Latitude,Longitude,GREG,WHIB,SNEG,ROSP,GBHE,LBHE,TRHE,GLIB,SMDK,SMWT,CAEG,ANHI,Total
Clewiston Spit 1,Apr,26.77609,-80.90929,57,277,89,6,7,2,9,6,2,2,82,5,457
Clewiston Spit 2,Mar,26.77118,-80.9077,55,8,12,6,2,0,0,0,0,0,0,1,83
Eagle Bay Island,Jun,27.1725,-80.837639,0,301,0,0,0,0,0,45,0,0,312,0,346
Gun Range,Apr,26.8959,-81.12725,0,12,0,0,0,0,1,0,0,0,199,5,13
Lemkin Creek,May,27.20427,-80.88912,21,161,5,0,8,1,2,3,0,0,116,12,201
Little Bear Beach,Jun,26.72121,-80.84225,58,173,34,2,0,0,0,7,0,0,60,0,274
Rock Island 10,May,26.96706,-81.04669,2,51,21,24,5,0,2,13,0,0,5,3,118
Rock Island 11,Mar,26.9683,-81.04488,4,20,38,6,10,2,2,10,0,0,10,6,92
Rock Island 12,May,26.96872,-81.04175,1,23,19,7,8,0,1,7,0,0,20,3,66
Rock Island 13,May,26.96907,-81.03886,12,62,23,3,10,0,1,22,0,0,26,5,133
Rock Island 14,May,26.96968,-81.03663,1,41,25,2,6,0,4,14,0,0,31,6,93
Rock Island 15,Apr,26.96976,-81.03461,0,4,3,0,1,0,0,1,0,0,0,0,9
Rock Island 5,Jun,26.95977,-81.05744,2,57,13,0,0,0,2,4,0,0,26,0,78
Rock Island 6,May,26.96131,-81.05394,0,26,13,1,3,0,1,3,0,0,19,0,47
Rock Island 7,Apr,26.96357,-81.05149,0,4,17,0,1,0,0,1,0,0,53,0,23
Rock Island 8,May,26.96512,-81.04951,0,14,2,1,0,0,0,2,0,0,0,1,19
Rock Island 9,May,26.9665,-81.04768,0,30,0,0,0,0,0,3,0,0,24,0,33
