Report Year,Colony Name,Colony Type,Species,Number
2025,Clewiston Spit,Spoil Island,Great Egret,76
2025,Clewiston Spit,Spoil Island,White Ibis,269
2025,Clewiston Spit,Spoil Island,Snowy Egret,35
2025,Clewiston Spit,Spoil Island,Roseate Spoonbill,7
2025,Clewiston Spit,Spoil Island,Great Blue Heron,2
2025,Clewiston Spit,Spoil Island,Little Blue Heron,0
2025,Clewiston Spit,Spoil Island,Tricolored Heron,4
2025,Clewiston Spit,Spoil Island,Glossy Ibis,0
2025,Clewiston Spit,Spoil Island,Black-crowned Night Heron,0
2025,Clewiston Spit,Spoil Island,"Small Dark Egrets and Herons (LBHE, TRHE)",1
2025,Clewiston Spit,Spoil Island,"Small White Egrets and Herons (SNEG, CAEG)",42
2025,Clewiston Spit,Spoil Island,Double-crested Cormorant,2
2025,Clewiston Spit,Spoil Island,Cattle Egret,200
2025,Clewiston Spit,Spoil Island,Anhinga,2
2025,Clewiston Spit 2,Spoil Island,Great Egret,61
2025,Clewiston Spit 2,Spoil Island,White Ibis,116
2025,Clewiston Spit 2,Spoil Island,Snowy Egret,22
2025,Clewiston Spit 2,Spoil Island,Roseate Spoonbill,3
2025,Clewiston Spit 2,Spoil Island,Great Blue Heron,9
2025,Clewiston Spit 2,Spoil Island,Little Blue Heron,0
2025,Clewiston Spit 2,Spoil Island,Tricolored Heron,1
2025,Clewiston Spit 2,Spoil Island,Glossy Ibis,0
2025,Clewiston Spit 2,Spoil Island,Black-crowned Night Heron,1
2025,Clewiston Spit 2,Spoil Island,"Small Dark Egrets and Herons (LBHE, TRHE)",0
2025,Clewiston Spit 2,Spoil Island,"Small White Egrets and Herons (SNEG, CAEG)",1
2025,Clewiston Spit 2,Spoil Island,Double-crested Cormorant,0
2025,Clewiston Spit 2,Spoil Island,Cattle Egret,2
2025,Clewiston Spit 2,Spoil Island,Anhinga,5
2025,Eagle Bay Island,Marsh Island,Great Egret,6
2025,Eagle Bay Island,Marsh Island,White Ibis,400
2025,Eagle Bay Island,Marsh Island,Snowy Egret,60
2025,Eagle Bay Island,Marsh Island,Roseate Spoonbill,2
2025,Eagle Bay Island,Marsh Island,Great Blue Heron,5
2025,Eagle Bay Island,Marsh Island,Little Blue Heron,0
2025,Eagle Bay Island,Marsh Island,Tricolored Heron,0
2025,Eagle Bay Island,Marsh Island,Glossy Ibis,0
2025,Eagle Bay Island,Marsh Island,Black-crowned Night Heron,0
2025,Eagle Bay Island,Marsh Island,"Small Dark Egrets and Herons (LBHE, TRHE)",2
2025,Eagle Bay Island,Marsh Island,"Small White Egrets and Herons (SNEG, CAEG)",0
2025,Eagle Bay Island,Marsh Island,Double-crested Cormorant,0
2025,Eagle Bay Island,Marsh Island,Cattle Egret,0
2025,Eagle Bay Island,Marsh Island,Anhinga,0
2025,Gator Farm,Off-Lake Island,Great Egret,42
