TIMESERIESID,STATION,SOURCE_TIMESERIES,PARAMETER,TIMESTAMP,VALUE,CODE,REVISION_DATE,QUALITY_CODE
12515,L005,L005+R,RAIN,9/4/2024,0,NA,9/11/2024 8:58,A
12515,L005,L005+R,RAIN,9/5/2024,0,NA,9/11/2024 8:58,A
12515,L005,L005+R,RAIN,9/6/2024,0,NA,9/11/2024 8:58,A
12515,L005,L005+R,RAIN,9/7/2024,0.08,NA,9/11/2024 8:58,A
12515,L005,L005+R,RAIN,9/8/2024,0,NA,9/11/2024 8:58,A
12515,L005,L005+R,RAIN,9/9/2024,0.38,NA,9/11/2024 8:58,A
12515,L005,L005+R,RAIN,9/10/2024,0.37,NA,9/11/2024 8:58,A
12515,L005,L005+R,RAIN,9/11/2024,3.81,NA,9/20/2024 13:52,A
12515,L005,L005+R,RAIN,9/12/2024,0.04,NA,9/20/2024 13:52,A
12515,L005,L005+R,RAIN,9/13/2024,0.59,NA,9/20/2024 13:52,A
12515,L005,L005+R,RAIN,9/14/2024,0.4,NA,9/20/2024 13:52,A
12515,L005,L005+R,RAIN,9/15/2024,0,NA,9/20/2024 13:52,A
12515,L005,L005+R,RAIN,9/16/2024,0,NA,9/20/2024 13:52,A
12515,L005,L005+R,RAIN,9/17/2024,0,NA,9/20/2024 13:52,A
12515,L005,L005+R,RAIN,9/18/2024,0.11,NA,9/20/2024 13:52,A
12515,L005,L005+R,RAIN,9/19/2024,0.06,NA,9/20/2024 13:52,A
12515,L005,L005+R,RAIN,9/20/2024,0.06,NA,10/2/2024 12:38,A
12515,L005,L005+R,RAIN,9/21/2024,0,NA,10/2/2024 12:38,A
12515,L005,L005+R,RAIN,9/22/2024,0,NA,10/2/2024 12:38,A
12515,L005,L005+R,RAIN,9/23/2024,0.19,NA,10/2/2024 12:38,A
12515,L005,L005+R,RAIN,9/24/2024,0.08,NA,10/2/2024 12:38,A
12515,L005,L005+R,RAIN,9/25/2024,0.38,NA,10/2/2024 12:38,A
12515,L005,L005+R,RAIN,9/26/2024,0.05,NA,10/2/2024 12:38,A
12515,L005,L005+R,RAIN,9/27/2024,0.03,NA,10/2/2024 12:38,A
12515,L005,L005+R,RAIN,9/28/2024,0.19,NA,10/2/2024 12:38,A
12515,L005,L005+R,RAIN,9/29/2024,0.01,NA,10/2/2024 12:38,A
12515,L005,L005+R,RAIN,9/30/2024,0.01,NA,10/2/2024 12:38,A
12515,L005,L005+R,RAIN,10/1/2024,1.12,NA,10/2/2024 12:38,A
12515,L005,L005+R,RAIN,10/2/2024,0.02,NA,10/11/2024 15:52,A
12515,L005,L005+R,RAIN,10/3/2024,0.08,NA,10/11/2024 15:52,A
12515,L005,L005+R,RAIN,10/4/2024,0,NA,10/11/2024 15:52,A
12515,L005,L005+R,RAIN,10/5/2024,0,NA,10/11/2024 15:52,A
12515,L005,L005+R,RAIN,10/6/2024,0.61,NA,10/11/2024 15:52,A
12515,L005,L005+R,RAIN,10/7/2024,0,NA,10/11/2024 15:52,A
12515,L005,L005+R,RAIN,10/8/2024,0.03,NA,10/11/2024 15:52,A
12515,L005,L005+R,RAIN,10/9/2024,0.84,PT,10/21/2024 10:49,A
12515,L005,L005+R,RAIN,10/10/2024,NA,M,10/21/2024 10:49,A
12515,L005,L005+R,RAIN,10/11/2024,NA,M,10/21/2024 10:49,A
12515,L005,L005+R,RAIN,10/12/2024,NA,M,10/21/2024 10:49,A
12515,L005,L005+R,RAIN,10/13/2024,NA,M,10/21/2024 10:49,A
12515,L005,L005+R,RAIN,10/14/2024,0,PT,10/21/2024 10:49,A
12515,L005,L005+R,RAIN,10/15/2024,0,NA,10/21/2024 10:49,A
12515,L005,L005+R,RAIN,10/16/2024,0,NA,10/21/2024 10:49,A
12515,L005,L005+R,RAIN,10/17/2024,0,NA,10/21/2024 10:49,A
12515,L005,L005+R,RAIN,10/18/2024,0,NA,10/29/2024 14:31,A
12515,L005,L005+R,RAIN,10/19/2024,0,NA,10/29/2024 14:31,A
12515,L005,L005+R,RAIN,10/20/2024,0,NA,10/29/2024 14:31,A
12515,L005,L005+R,RAIN,10/21/2024,0.05,NA,10/29/2024 14:31,A
12515,L005,L005+R,RAIN,10/22/2024,0,NA,10/29/2024 14:31,A
12515,L005,L005+R,RAIN,10/23/2024,0,NA,10/29/2024 14:31,A
12515,L005,L005+R,RAIN,10/24/2024,0,NA,10/29/2024 14:31,A
12515,L005,L005+R,RAIN,10/25/2024,0,NA,10/29/2024 14:31,A
12515,L005,L005+R,RAIN,10/26/2024,0,NA,10/29/2024 14:31,A
12515,L005,L005+R,RAIN,10/27/2024,0,NA,10/29/2024 14:31,A
12515,L005,L005+R,RAIN,10/28/2024,0,NA,10/29/2024 14:31,A
12515,L005,L005+R,RAIN,10/29/2024,0,NA,11/8/2024 13:38,A
12515,L005,L005+R,RAIN,10/30/2024,0,NA,11/8/2024 13:38,A
12515,L005,L005+R,RAIN,10/31/2024,0,NA,11/8/2024 13:38,A
12515,L005,L005+R,RAIN,11/1/2024,0,NA,11/8/2024 13:38,A
12515,L005,L005+R,RAIN,11/2/2024,0,NA,11/8/2024 13:38,A
12515,L005,L005+R,RAIN,11/3/2024,0,NA,11/8/2024 13:38,A
12515,L005,L005+R,RAIN,11/4/2024,0,NA,11/8/2024 13:38,A
12515,L005,L005+R,RAIN,11/5/2024,0,NA,11/8/2024 13:38,A
12515,L005,L005+R,RAIN,11/6/2024,0.25,NA,11/8/2024 13:38,A
12515,L005,L005+R,RAIN,11/7/2024,0,NA,11/8/2024 13:38,A
12515,L005,L005+R,RAIN,11/8/2024,0,NA,11/20/2024 8:15,A
12515,L005,L005+R,RAIN,11/9/2024,0,NA,11/20/2024 8:15,A
12515,L005,L005+R,RAIN,11/10/2024,0,NA,11/20/2024 8:15,A
12515,L005,L005+R,RAIN,11/11/2024,0.01,NA,11/20/2024 8:15,A
12515,L005,L005+R,RAIN,11/12/2024,0,NA,11/20/2024 8:15,A
12515,L005,L005+R,RAIN,11/13/2024,0.01,NA,11/20/2024 8:15,A
12515,L005,L005+R,RAIN,11/14/2024,0,NA,11/20/2024 8:15,A
12515,L005,L005+R,RAIN,11/15/2024,0,NA,11/20/2024 8:15,A
12515,L005,L005+R,RAIN,11/16/2024,0,NA,11/20/2024 8:15,A
