Colony Name,Month,Latitude,Longitude,GREG,WHIB,SNEG,ROSP,GBHE,LBHE,TRHE,GLIB,BCNH,SMDK,SMWT,DCCO,CAEG,ANHI,Total
Clewiston Spit,Mar,NA,NA,76,269,35,7,2,0,4,0,0,1,42,2,200,2,436
Clewiston Spit 2,Mar,26.77128,-80.9078,61,116,22,3,9,0,1,0,1,0,1,0,2,5,214
Eagle Bay Island,Apr,27.16913,-80.84679,6,400,60,2,5,0,0,0,0,2,0,0,0,0,475
Gator Farm,Apr,27.02317,-81.0612,42,0,17,0,0,2,0,2,0,1,0,0,40,2,64
Gun Range,Mar,26.89366,-81.12446,1,1,3,0,0,0,0,0,0,9,2,1,70,5,16
Lake Hicpochee,May,26.78775,-81.1062,5,0,0,0,1,0,0,0,0,0,0,0,0,0,6
Lakeport Marina,Feb,26.97333,-81.11573,90,16,4,0,0,0,0,0,0,0,4,0,39,2,114
Little Bear Beach,Apr,26.72483,-80.84408,44,154,26,0,0,0,2,30,0,1,4,0,7,0,261
Moonshine Bay,Apr,26.91317,-81.02419,10,358,5,0,4,0,0,90,0,1,1,0,0,9,469
Moore Haven East,Feb,26.86137,-81.00579,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Pahokee,Apr,26.7721,-80.69519,3,30,40,0,1,0,4,0,0,3,2,2,20,0,83
Rock Islands,May,26.96944,-81.04035,42,109,157,3,6,1,1,1,0,2,20,0,21,2,342
